onset,duration,sub_number,trial_number,trial_color_UP,trial_color_chosen,trial_direction,trial_RT_colochoice,SON,SOFF,meanPos,stdPos,meanVelo,stdVelo,meanVSS,proba,color
6249.283155,1.516501612,1,22,1,0,-1,0.525944211,-900,-209,-0.02195121951219,0.0109753086378447,0.0406504065040279,4.834493901566851,64.95934959349597,75,green
6252.224569,1.458274933,1,23,1,1,1,0.503812743,-842,-209,-0.0174796747967494,0.0088807881654778,0.365853658536576,5.000165242824734,73.57723577235774,75,red
6255.34111,1.366537211,1,24,0,1,1,0.740431401,-751,-209,0.0269105691056887,0.0073161697725959,-0.2845528455284275,4.275448898354028,-8.41463414634148,75,red
6258.307624,1.491554256,1,25,1,1,1,0.683803123,-875,-209,-0.0073170731707368,0.0155039605898574,1.4227642276422765,4.591157041787107,-58.00813008130079,75,red
6261.25746,1.441500039,1,26,0,0,-1,0.537132591,-825,-208,-0.0395121951219586,0.0118487393185277,0.4878048780487988,5.549041061215195,-70.89430894308946,75,green
6264.215517,1.441580979,1,27,0,0,-1,0.595368118,-834,-209,-0.0334146341463418,0.0228094788339076,-1.8699186991870471,5.857327215309817,59.71544715447158,75,green
6269.831984,1.416528577,1,29,1,1,1,0.546002992,-800,-209,0.0286991869918714,0.0122421856082637,-0.8130081300813007,5.102233306904895,-58.983739837398346,75,red
6272.556764,1.433292215,1,30,1,0,-1,0.391950213,-817,-209,-0.0369918699186971,0.0310826522528049,-2.032520325203252,3.9562683123889766,-71.86991869918704,75,green
6275.598322,1.399847952,1,31,0,0,-1,0.688869801,-791,-208,-0.1272357723577248,0.0109747063765532,-0.7723577235772269,4.6866234280756345,-3.7398373983740023,75,green
6290.122463,1.541601409,1,36,0,1,1,0.570397448,-925,-209,0.0266666666666613,0.018896449789857,-1.5853658536585276,5.192124789092044,2.276422764227652,75,red
6293.088938,1.366688787,1,37,1,1,1,0.504785722,-750,-208,-0.0117886178861829,0.0329768765491667,2.6829268292682094,4.551393496675959,9.51219512195121,75,red
6295.888781,1.44167351,1,38,0,0,1,0.512522188,-825,-208,0.061869918699185,0.0120242775546208,0.3658536585365762,4.750013480539703,-67.6016260162602,75,green
6298.6053,1.474913809,1,39,1,0,-1,0.358780015,-859,-209,-0.0468292682926859,0.0123903079186617,-0.9349593495934776,3.8263241059348094,-77.0731707317073,75,green
6301.605089,1.525036206,1,40,1,0,-1,0.60942286,-908,-208,-0.018048780487803,0.037655707098443,-2.195121951219457,6.90075821990018,9.552845528455284,75,green
6304.480061,1.466486239,1,41,0,0,-1,0.431700619,-858,-208,0.0030081300813023,0.0135106198880266,-0.8130081300813009,4.672498551382664,3.048780487804878,75,green
6307.404802,1.366690977,1,42,1,0,-1,0.542775017,-750,-208,-0.0543902439024416,0.020357372915757,-0.7723577235771802,6.07203328450029,-4.390243902439051,75,green
6313.046192,1.433263945,1,44,1,1,1,0.450896976,-817,-208,-0.0499186991869973,0.0149906882768015,-1.3821138211382482,4.243637658001846,76.70731707317076,75,red
6315.870934,1.358321405,1,45,0,1,1,0.474376895,-742,-209,0.106991869918697,0.0128280214135386,1.4634146341463508,5.810875724635423,-65.44715447154476,75,red
6318.529184,1.524886602,1,46,0,0,-1,0.380831111,-908,-208,-0.179186991869923,0.0190358522902759,-0.7723577235772731,7.233031361719738,-76.13821138211385,75,green
6324.42891,1.47485688,1,48,0,1,1,0.66859379,-859,-209,-0.1205691056910583,0.0287556734696381,-2.2357723577236235,6.961077970924153,23.41463414634143,75,red
6327.420408,1.558252407,1,49,1,1,-1,0.595113998,-941,-208,0.1139837398374007,0.0202890735793675,1.382113821138248,5.045892894043192,-65.08130081300808,75,red
6330.395243,1.541562959,1,50,1,1,-1,0.495486949,-925,-208,-0.0734146341463394,0.0136657936586079,0.5691056910569935,6.632123476069777,-8.414634146341482,75,red
6338.961338,1.533306536,1,51,0,0,-1,0.980732104,-925,-208,0.0570731707317123,0.013664826271522,-0.5691056910569473,5.041961539419513,1.5447154471544526,75,green
6341.911193,1.474994532,1,52,1,0,-1,0.492712988,-858,-208,-0.1847154471544748,0.0422664153258663,-2.845528455284599,5.0504756066656,56.13821138211383,75,green
6344.861008,1.574943696,1,53,0,0,1,0.553625481,-967,-208,-0.0573983739837409,0.0293643410463143,-1.9105691056910292,7.321137082831217,8.78048780487805,75,green
6347.944297,1.349854852,1,54,1,1,-1,0.590036953,-742,-208,-0.0932520325203242,0.0119215937212158,1.016260162601626,4.2111937679578535,-14.756097560975588,75,red
6350.610782,1.333185914,1,55,0,1,1,0.396776182,-716,-208,0.0355284552845514,0.0102509976718639,-0.2439024390243534,5.613584177546048,8.943089430894306,75,red
